,precision,recall,f1-score,support
negative,0.9788091523660947,0.6118153746140095,0.752975297529753,12306.0
positive,0.9328893946418286,0.997551339252182,0.9641374103435258,66567.0
accuracy,0.9373676670089891,0.9373676670089891,0.9373676670089891,0.9373676670089891
macro avg,0.9558492735039616,0.8046833569330958,0.8585563539366394,78873.0
weighted avg,0.9400539317908506,0.9373676670089891,0.9311912695819687,78873.0
