fpr,tpr
0.0,0.0
0.0,0.07237820541709857
0.0,0.07239322787567413
0.0,0.1340303754112398
0.0,0.13404539786981537
8.126117341134406e-05,0.18730001352021272
0.00016252234682268812,0.23577748734357865
0.00016252234682268812,0.23579250980215422
0.00024378352023403217,0.2828728949779921
0.00024378352023403217,0.28290293989514326
0.0004063058670567203,0.3233884657563057
0.0004063058670567203,0.323448555590608
0.0004063058670567203,0.36132017365962116
0.0004063058670567203,0.3613502185767723
0.0005688282138794084,0.3975693662024727
0.0005688282138794084,0.39762945603677496
0.0006500893872907525,0.4293719110069554
0.0006500893872907525,0.4294019559241065
0.0008126117341134406,0.46118947827001366
0.0008126117341134406,0.4612195231871648
0.0008938729075247847,0.4900926885694113
0.0008938729075247847,0.490137755945138
0.0012189176011701609,0.5170129343368336
0.0012189176011701609,0.5170429792539847
0.0017064846416382253,0.5424459567052744
0.0017064846416382253,0.5424609791638499
0.0021127905086949453,0.5669475866420298
0.0025190963757516656,0.5904276893956465
0.0032504469364537623,0.6116844682800787
0.0032504469364537623,0.6116994907386543
0.0036567528035104826,0.6319497648985233
0.0036567528035104826,0.6319647873570988
0.004306842190801235,0.6506527258251086
0.004306842190801235,0.6506977932008352
0.004306842190801235,0.6507128156594109
0.0048756704046806435,0.6693556867516938
0.0048756704046806435,0.669385731668845
0.0060133268324394605,0.6870972103294425
0.007069722086786933,0.7037571168897502
0.007069722086786933,0.7037871618069013
0.008044856167723062,0.7195306983940992
0.008044856167723062,0.7195607433112503
0.008938729075247847,0.7340724382952514
0.008938729075247847,0.734087460753827
0.010320169023240696,0.7480883921462587
0.010320169023240696,0.7481034146048342
0.011945392491467578,0.7612630883170339
0.011945392491467578,0.7612931332341851
0.011945392491467578,0.7613382006099119
0.01300178774581505,0.7742124476091757
0.01300178774581505,0.7742424925263268
0.014464488867219242,0.7860801898838764
0.014464488867219242,0.7861102348010275
0.016170973508857468,0.7980530893686061
0.017308629936616284,0.8088091697087145
0.018933853404843166,0.8183634533627774
0.018933853404843166,0.8183784758213529
0.021371688607183487,0.8281731188126249
0.021371688607183487,0.8282181861883516
0.02299691207541037,0.8379076719695946
0.02299691207541037,0.8379527393453212
0.025841053144807412,0.8469962594078146
0.027710060133268325,0.8553036790001052
0.027710060133268325,0.8553187014586807
0.030960507069722087,0.8634758964652155
0.033317081098651065,0.8715279342617213
0.033317081098651065,0.8715429567202968
0.035511132780757355,0.8788588940465997
0.035511132780757355,0.8788889389637508
0.03803022915650902,0.8857241576156354
0.03803022915650902,0.8857391800742109
0.0424183325207216,0.8918983880901948
0.0424183325207216,0.8919134105487704
0.04566877945717536,0.8979223939789986
0.04566877945717536,0.8979374164375742
0.04908174874045181,0.9037060405305932
0.05233219567690557,0.9087085192362582
0.05233219567690557,0.9087385641534094
0.05558264261335934,0.9139663797377079
0.05558264261335934,0.913996424654859
0.05907687307004713,0.9188186338576171
0.05915813424345848,0.9188186338576171
