precision,recall
0.84397702635883,1.0
0.8445231026870671,1.0
0.8449518925642914,1.0
0.8454025908051817,1.0
0.8458537701085161,1.0
0.846391516631065,1.0
0.8470808307034511,1.0
0.8475985535295916,1.0
0.8483438897880637,1.0
0.8491230308055361,1.0
0.8497734090764026,1.0
0.8503596019468326,1.0
0.8513928324764024,1.0
0.8522321371416867,1.0
0.8528217282685286,1.0
0.8537295439388498,1.0
0.8545734642788368,1.0
0.8553201331157567,1.0
0.8561231576510533,1.0
0.8568945986303486,1.0
0.8577226868017884,1.0
0.8587074303405573,1.0
0.8602276985901296,1.0
0.8612182058115766,1.0
0.8619653748041488,1.0
0.8625908696271916,1.0
0.8636316458652274,1.0
0.8644728127475553,1.0
0.8653043715633896,1.0
0.8659347235050018,1.0
0.8667352412697586,1.0
0.8676955563955838,1.0
0.8686806733655227,1.0
0.8697475697710881,1.0
0.8707145753489163,1.0
0.8715467804865276,1.0
0.8722205479631546,1.0
0.872895357985838,1.0
0.8736858684096547,1.0
0.8746041965024767,1.0
0.8753155901535872,0.9999849775414245
0.8759606274344668,0.9999849775414245
0.8769415205448773,0.9999849775414245
0.8777972650429232,0.9999849775414245
0.8786546812919918,0.9999849775414245
0.8794556744616198,0.9999849775414245
0.8801882925410237,0.9999849775414245
0.8801999312405786,0.9999849775414245
0.8809337903471276,0.9999849775414245
0.881773986303003,0.9999849775414245
0.8826040837974012,0.9999849775414245
0.883365403755557,0.9999849775414245
0.8844334608843537,0.9999849775414245
0.8854672430994347,0.9999699550828488
0.8863633337328061,0.9999699550828488
0.8871784619485539,0.9999699550828488
0.887912175861701,0.9999699550828488
0.8879240199020902,0.9999699550828488
0.8887064258154097,0.9999699550828488
0.8895020979768554,0.9999699550828488
0.8904406453166386,0.9999549326242733
0.8914304080566753,0.9999549326242733
0.8922548993324576,0.9999549326242733
0.8932472691161867,0.9999399101656977
0.8940030891142301,0.9999399101656977
0.8949045442323205,0.9999399101656977
0.8956135629709365,0.9999248877071222
0.8963478682431523,0.9999098652485465
0.8963720103425986,0.9999098652485465
0.8972527028120029,0.999894842789971
0.8981244096613142,0.999894842789971
0.8990571644694186,0.9998798203313954
0.9001866428629393,0.9998647978728199
0.9001988179125472,0.9998647978728199
0.9012104963847591,0.9998647978728199
0.9022231259319506,0.9998497754142442
0.9030161594507686,0.9998197304970932
0.9039592529711376,0.9998047080385176
0.904758020663404,0.9998047080385176
0.905383160787408,0.9997746631213664
0.9053954779201698,0.9997746631213664
0.9062942586338381,0.9997596406627909
0.9073309065128772,0.9997446182042153
0.9082583832621365,0.9997295957456397
0.9092498975269846,0.9997145732870641
0.9104790050486393,0.9996845283699131
0.9114943630909166,0.9995943936184596
0.9124382885353812,0.9995192813255818
0.9131938725086477,0.9994141241155527
0.914283358300235,0.9993840791984017
0.9142821802589264,0.999369056739826
0.9152472414077764,0.9993239893640993
0.9160882498760535,0.9992789219883726
0.9171458117890383,0.9992338546126459
0.9184053908504675,0.9991437198611924
0.919211046455376,0.9990535851097391
0.9202114410649544,0.9989934952754368
0.9212152277513023,0.9989484278997101
0.9222926578907215,0.9988282482311055
0.9223054515189346,0.9988282482311055
0.9234391277172026,0.9987381134796521
0.9243968574010986,0.9986630011867742
0.9252397589187534,0.9985728664353208
0.9262232256086514,0.9984376643081406
0.9262361335637438,0.9984376643081406
0.9272927683442397,0.998392596932414
0.927291753871913,0.9983775744738383
0.9272907393712763,0.9983625520152628
0.9284067569266882,0.9981973049709315
0.9293837868084214,0.9980470803851759
0.93045341849813,0.9978818333408446
0.9304664518840173,0.9978818333408446
