metric,mean,std
accuracy,0.9529149063503308,0.0011898277206406323
precision_macro,0.8924622058480803,0.002687126347479306
recall_macro,0.9464201821008137,0.000991571483650972
f1_macro,0.9164744412742903,0.0018441213761309575
negative_recall,0.936979650866812,0.002219941740091412
negative_f1,0.861304759972502,0.0029514765476046853
