,precision,recall,f1-score,support
negative,0.8108678820299852,0.9361287176986836,0.8690076566212801,12306.0
positive,0.9878452355178919,0.9596346538074422,0.9735356198517141,66567.0
accuracy,0.9559671877575343,0.9559671877575343,0.9559671877575343,0.9559671877575343
macro avg,0.8993565587739385,0.9478816857530629,0.9212716382364972,78873.0
weighted avg,0.960232702559564,0.9559671877575343,0.9572268561998469,78873.0
