,precision,recall,f1-score,support
negative,0.9019099472819981,0.8480416057207866,0.874146668341919,12306.0
positive,0.9722147930224956,0.9829495095167275,0.9775526820996646,66567.0
accuracy,0.961900777198788,0.961900777198788,0.961900777198788,0.961900777198788
macro avg,0.9370623701522469,0.9154955576187571,0.9258496752207919,78873.0
weighted avg,0.9612456219286795,0.961900777198788,0.9614189683408015,78873.0
