metric,mean,std
accuracy,0.962427782424154,0.001905433173767242
precision_macro,0.9384747470273792,0.0032394024571995744
recall_macro,0.9160668470670714,0.0047631094131319746
f1_macro,0.9268003484307604,0.0038715933322717353
negative_recall,0.8486780427752555,0.009072553471037755
negative_f1,0.8757326827954259,0.006633827072023965
