fpr,tpr
0.0,0.0
0.0,1.5022458575570477e-05
0.0,0.00012017966860456382
0.0,0.00015022458575570478
0.0,0.0004656962158426848
0.0,0.0004957411329938258
0.0,0.0005107635915693962
0.0,0.0005408085087205372
0.0,0.0007060555530518125
0.0,0.0007511229287785239
0.0,0.0008112127630808059
0.0,0.0009013475145342286
0.0,0.001006504724563222
0.0,0.001036549641714363
0.0,0.001667492901888323
0.0,0.001697537819039464
0.0,0.0017576276533417458
0.0,0.0017876725704928868
0.0,0.002013009449126444
0.0,0.002043054366277585
0.0,0.0021181666591554376
0.0,0.0021482115763065785
0.0,0.0024937281235446994
0.0,0.0025237730406958403
0.0,0.0025988853335736925
0.0,0.002643952709300404
0.0,0.002944401880811814
0.0,0.002989469256538525
0.0,0.003334985803776646
0.0,0.003365030720927787
0.0,0.003395075638078928
0.0,0.0034401430138056395
0.0,0.0035903675995613443
0.0,0.0036204125167124852
0.0,0.003680502351014767
0.0,0.003980951522526177
0.0,0.004010996439677317
0.0,0.004176243484008593
0.0,0.004206288401159734
0.0,0.0043865579040665795
0.0,0.004431625279793291
0.0,0.004536782489822284
0.0,0.004566827406973425
0.0,0.004882299037060406
0.0,0.004912343954211546
0.0,0.004927366412787117
0.0,0.004957411329938257
0.0,0.005122658374269533
0.0,0.005152703291420674
0.0,0.0051677257499962445
0.0,0.005197770667147385
0.0,0.00533297279432752
0.0,0.005363017711478661
0.0,0.005378040170054231
0.0,0.005423107545780943
0.0,0.005483197380083224
0.0,0.005513242297234365
0.0,0.005528264755809936
0.0,0.005558309672961077
0.0,0.0056484444244145
0.0,0.0056784893415656405
0.0,0.005768624093019064
0.0,0.005798669010170204
0.0,0.0058437363858969155
0.0,0.0059038262201991975
0.0,0.006264365226012889
0.0,0.00629441014316403
0.0,0.006309432601739601
0.0,0.006339477518890742
0.0,0.006369522436041883
0.0,0.0063995673531930235
0.0,0.006444634728919735
0.0,0.006639926690402151
0.0,0.006669971607553292
0.0,0.007391049619180675
0.0,0.007451139453482957
0.0,0.007601364039238662
0.0,0.0076314089563898025
0.0,0.007676476332116514
0.0,0.007706521249267655
0.0,0.008097105172232487
0.0,0.008127150089383629
0.0,0.00815719500653477
0.0,0.00818723992368591
0.0,0.008367509426592756
0.0,0.008397554343743898
0.0,0.00848768909519732
0.0,0.008517734012348462
0.0,0.008547778929499601
0.0,0.008607868763801884
0.0,0.00881818318385987
0.0,0.008848228101011012
0.0,0.008983430228191145
0.0,0.009013475145342287
0.0,0.009223789565400273
0.0,0.009253834482551414
0.0,0.009298901858278126
0.0,0.009343969234004837
0.0,0.009569306112638395
0.0,0.009629395946940676
0.0,0.009674463322667387
0.0,0.009704508239818528
0.0,0.009839710366998662
0.0,0.009884777742725375
0.0,0.009899800201300945
0.0,0.009929845118452086
0.0,0.009974912494178798
0.0,0.010004957411329939
0.0,0.010035002328481079
0.0,0.010140159538510073
0.0,0.010170204455661214
0.0,0.010290384124265778
0.0,0.010335451499992489
0.0,0.0103805188757192
0.0,0.010410563792870342
0.0,0.010440608710021481
0.0,0.010485676085748194
0.0,0.010545765920050475
0.0,0.011507203268886986
0.0,0.011537248186038128
0.0,0.011762585064671684
0.0,0.011822674898973966
0.0,0.011867742274700678
0.0,0.011897787191851819
0.0,0.012078056694758664
0.0,0.012123124070485375
0.0,0.012183213904787658
0.0,0.012243303739089939
0.0,0.01227334865624108
0.0,0.012303393573392222
0.0,0.01255877536917692
0.0,0.01258882028632806
0.0,0.012648910120630342
0.0,0.012678955037781483
0.0,0.012784112247810477
0.0,0.012814157164961617
0.0,0.012844202082112758
0.0,0.0128742469992639
0.0,0.01288926945783947
0.0,0.013009449126444033
0.0,0.013234786005077591
0.0,0.013264830922228733
0.0,0.013475145342286719
0.0,0.013535235176589
0.0,0.013760572055222558
0.0,0.013820661889524839
0.0,0.01385070680667598
0.0,0.014015953851007255
0.0,0.014076043685309538
0.0,0.014301380563943094
0.0,0.014346447939669806
0.0,0.014406537773972088
0.0,0.01443658269112323
0.0,0.0144516051496988
0.0,0.014481650066849941
0.0,0.014857211531239202
0.0,0.014887256448390344
0.0,0.014932323824117055
8.126117341134406e-05,0.014932323824117055
8.126117341134406e-05,0.015067525951297189
8.126117341134406e-05,0.01509757086844833
8.126117341134406e-05,0.015382997581384169
8.126117341134406e-05,0.01542806495711088
8.126117341134406e-05,0.015578289542866585
8.126117341134406e-05,0.015608334460017727
8.126117341134406e-05,0.015623356918593297
8.126117341134406e-05,0.01568344675289558
8.126117341134406e-05,0.01569846921147115
