strategy,accuracy,precision_macro,recall_macro,f1_macro,negative_recall,negative_f1,negative_precision,positive_recall,positive_f1
Baseline (no handling),0.961900777198788,0.9370623701522469,0.9154955576187571,0.9258496752207919,0.8480416057207866,0.874146668341919,0.9019099472819981,0.9829495095167275,0.9775526820996646
Class Weighting (balanced),0.9559671877575343,0.8993565587739385,0.9478816857530629,0.9212716382364972,0.9361287176986836,0.8690076566212801,0.8108678820299852,0.9596346538074422,0.9735356198517141
SMOTE,0.9577929075856123,0.9073338549913644,0.9410808957050468,0.9230923098114614,0.9167885584267836,0.8714324334762291,0.8303525428718628,0.96537323298331,0.9747521861466937
Random Oversampling,0.9553712930914254,0.8982554661656603,0.9469656289004329,0.9202374142256093,0.9347472777506908,0.8673000075397723,0.8089310829817159,0.959183980050175,0.9731748209114465
Random Undersampling,0.9414628580122475,0.867909419871248,0.9437599526992513,0.8995556089910522,0.947098976109215,0.8346761198839833,0.7461110044171307,0.9404209292892874,0.9644350980981212
