model,accuracy,precision_macro,recall_macro,f1_macro,negative_precision,negative_recall,negative_f1,negative_support,positive_precision,positive_recall,positive_f1,positive_support
distilbert,0.9768995727308458,0.9575509031225204,0.9544537184016482,0.955994005979322,0.9295313012127171,0.921826751178287,0.9256629946960424,12306,0.9855705050323239,0.9870806856250094,0.9863250172626017,66567
logistic_regression,0.9559671877575343,0.8993565587739385,0.9478816857530629,0.9212716382364972,0.8108678820299852,0.9361287176986836,0.8690076566212801,12306,0.9878452355178919,0.9596346538074422,0.9735356198517141,66567
naive_bayes,0.9302169310156835,0.9140970818154233,0.8068721789538549,0.8485220708417203,0.8934521055067098,0.6275800422558102,0.7372792362768497,12306,0.9347420581241368,0.9861643156518995,0.9597649054065909,66567
random_forest,0.9373676670089891,0.9558492735039616,0.8046833569330958,0.8585563539366394,0.9788091523660947,0.6118153746140095,0.752975297529753,12306,0.9328893946418286,0.997551339252182,0.9641374103435258,66567
svm,0.9652732874367654,0.9411570306013889,0.9250116387431683,0.9328470894751535,0.9067947954758058,0.8664878920851617,0.8861832536879285,12306,0.975519265726972,0.9835353854011748,0.9795109252623784,66567
tfidf_lr,0.961900777198788,0.9370623701522469,0.9154955576187571,0.9258496752207919,0.9019099472819981,0.8480416057207866,0.874146668341919,12306,0.9722147930224956,0.9829495095167275,0.9775526820996646,66567
xgboost,0.9236240538587349,0.9226717561046978,0.7746161697744954,0.8257274355469508,0.9214975845410628,0.5580204778156996,0.6951108411782569,12306,0.9238459276683328,0.9912118617332912,0.9563440299156448,66567
