model,accuracy,precision_macro,recall_macro,f1_macro,negative_precision,negative_recall,negative_f1,positive_precision,positive_recall,positive_f1
Logistic Regression,0.9440619730452753,0.8733831689836428,0.9434781900452635,0.9031554423489412,0.7578727296485038,0.9426296115715911,0.8402143995364334,0.9888936083187817,0.9443267685189358,0.966096485161449
SVM (LinearSVC),0.9649563221888352,0.9407108943394591,0.9241945902200337,0.9322041225068595,0.90618082751575,0.8649439297903462,0.8850823216364544,0.9752409611631683,0.9834452506497213,0.9793259233772645
Multinomial NB,0.9290631775132174,0.9135635185190573,0.8026448858449525,0.8452473783290939,0.8937918084731838,0.6188850967007964,0.7313583329332117,0.9333352285649307,0.9864046749891087,0.9591364237249761
Random Forest,0.9373676670089891,0.9558492735039616,0.8046833569330958,0.8585563539366394,0.9788091523660947,0.6118153746140095,0.752975297529753,0.9328893946418286,0.997551339252182,0.9641374103435258
XGBoost,0.9236240538587349,0.9226717561046978,0.7746161697744954,0.8257274355469508,0.9214975845410628,0.5580204778156996,0.6951108411782569,0.9238459276683328,0.9912118617332912,0.9563440299156448
