model,accuracy_mean,accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,negative_recall_mean,negative_recall_std,negative_f1_mean,negative_f1_std
Logistic Regression,0.9529149063503308,0.001189827720640586,0.8924622058480803,0.002687126347479306,0.9464201821008137,0.0009915714836509733,0.9164744412742902,0.0018441213761309437,0.936979650866812,0.0022199417400913806,0.861304759972502,0.0029514765476046853
TF-IDF+LR,0.962427782424154,0.0019054331737672404,0.9384747470273792,0.003239402457199564,0.9160668470670714,0.004763109413132024,0.9268003484307604,0.003871593332271724,0.8486780427752555,0.009072553471037755,0.8757326827954259,0.006633827072023965
SVM (LinearSVC),0.9654022144393386,0.000729253052386587,0.9412859321858716,0.0015579324289504365,0.9254103016985502,0.001884586923342695,0.9331154612109479,0.001441929854992001,0.8672793212315504,0.0037907500509205597,0.8866452385751808,0.002458939826540915
Multinomial NB,0.9290319378726617,0.0004183563632675109,0.914141572741444,0.0014762459998772263,0.8020418704357548,0.0010887807297285332,0.8449692415334014,0.0009482338926915819,0.6174530708550873,0.0022893474575406665,0.7308101646590657,0.0016742268514527308
Random Forest,0.9381054857176727,0.0007209945259746969,0.9568964789801967,0.0009308075917506623,0.8066969261782975,0.002322281653329465,0.8604363535074813,0.0019610642301045498,0.6156855437472097,0.0046750262755811565,0.756322111642424,0.0035257060812438463
XGBoost,0.9237943456309188,0.0005631274727478336,0.9226324261515855,0.0015982367686026267,0.7752956466148805,0.0023078594013530734,0.8262696332707031,0.0017911553456372606,0.5594425859942429,0.004948242753457048,0.6961044793302218,0.003296898268414101
DistilBERT,0.9376666666666666,0.004982190504408922,0.8926576994471696,0.013238411050662756,0.8669307178949737,0.012142112085252317,0.8787900553405562,0.009450581327093555,0.7636201101337339,0.026464219591074624,0.7943186783244942,0.01613010322644703
