model,holdout_accuracy,holdout_f1_macro,holdout_neg_recall,cv_accuracy_mean,cv_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,cv_neg_recall_mean,cv_neg_recall_std,roc_auc,pr_auc,brier_score
DistilBERT,0.9768995727308458,0.955994005979322,0.921826751178287,0.9376666666666666,0.004982190504408922,0.8787900553405562,0.009450581327093555,0.7636201101337339,0.026464219591074624,0.9940396222679575,0.9987776915589549,0.020526735112071037
Logistic Regression,0.9559671877575343,0.9212716382364972,0.9361287176986836,0.9529149063503308,0.001189827720640586,0.9164744412742902,0.0018441213761309437,0.936979650866812,0.0022199417400913806,0.9869455359897616,0.9972977905580753,0.034558782795439384
Multinomial NB,0.9302169310156835,0.8485220708417203,0.6275800422558102,0.9290319378726617,0.0004183563632675109,0.8449692415334014,0.0009482338926915819,0.6174530708550873,0.0022893474575406665,0.971617252092219,0.9943622299797796,0.05007308557939796
Random Forest,0.9373676670089891,0.8585563539366394,0.6118153746140095,0.9381054857176727,0.0007209945259746969,0.8604363535074813,0.0019610642301045498,0.6156855437472097,0.0046750262755811565,0.9829374534626976,0.9964871044570698,0.04797832005325812
SVM (LinearSVC),0.9652732874367654,0.9328470894751535,0.8664878920851617,0.9654022144393386,0.000729253052386587,0.9331154612109479,0.001441929854992001,0.8672793212315504,0.0037907500509205597,0.9875689008798041,0.9974051786063136,0.02671239311200642
TF-IDF+LR,0.961900777198788,0.9258496752207919,0.8480416057207866,0.962427782424154,0.0019054331737672404,0.9268003484307604,0.003871593332271724,0.8486780427752555,0.009072553471037755,0.985510852132031,0.9969440394112735,0.02918539329752194
XGBoost,0.9236240538587349,0.8257274355469508,0.5580204778156996,0.9237943456309188,0.0005631274727478336,0.8262696332707031,0.0017911553456372606,0.5594425859942429,0.004948242753457048,0.9572657978871001,0.9909130353492964,0.05757290497422218
