,precision,recall,f1-score,support
negative,0.8934521055067098,0.6275800422558102,0.7372792362768497,12306.0
positive,0.9347420581241368,0.9861643156518995,0.9597649054065909,66567.0
accuracy,0.9302169310156835,0.9302169310156835,0.9302169310156835,0.9302169310156835
macro avg,0.9140970818154233,0.8068721789538549,0.8485220708417203,78873.0
weighted avg,0.9282998769352627,0.9302169310156835,0.9250520297164231,78873.0
