,precision,recall,f1-score,support
negative,0.9067947954758058,0.8664878920851617,0.8861832536879285,12306.0
positive,0.975519265726972,0.9835353854011748,0.9795109252623784,66567.0
accuracy,0.9652732874367654,0.9652732874367654,0.9652732874367654,0.9652732874367654
macro avg,0.9411570306013889,0.9250116387431683,0.9328470894751535,78873.0
weighted avg,0.964796669516471,0.9652732874367654,0.9649496644203263,78873.0
