,precision,recall,f1-score,support
negative,0.9214975845410628,0.5580204778156996,0.6951108411782569,12306.0
positive,0.9238459276683328,0.9912118617332912,0.9563440299156448,66567.0
accuracy,0.9236240538587349,0.9236240538587349,0.9236240538587349,0.9236240538587349
macro avg,0.9226717561046978,0.7746161697744954,0.8257274355469508,78873.0
weighted avg,0.9234795321904864,0.9236240538587349,0.9155856509950726,78873.0
