metric,mean,std
accuracy,0.9237943456309188,0.0005631274727478438
precision_macro,0.9226324261515855,0.0015982367686026842
recall_macro,0.7752956466148805,0.0023078594013530734
f1_macro,0.8262696332707031,0.0017911553456372606
negative_recall,0.5594425859942429,0.004948242753457048
negative_f1,0.6961044793302218,0.003296898268414101
